year;O;P;S;V;frequency
1470;0;0;0;0;0
1480;0;0;0;0;0
1490;0;0;0;0;0
1500;0;0;0;0;0
1510;0;0;0;0;0
1520;0;0;0;0;0
1530;0;1;0;0;1
1540;0;0;0;0;0
1550;0;2;1;0;3
1560;3;7;7;2;19
1570;0;3;1;3;7
1580;4;3;1;3;11
1590;8;3;11;23;45
1600;6;18;6;15;45
1610;4;24;8;17;53
1620;6;40;9;24;79
1630;8;20;22;15;65
1640;2;8;7;6;23
1650;1;1;6;5;13
1660;0;0;0;0;0
1670;1;0;0;0;1
1680;0;0;0;0;0
1690;0;0;0;0;0
