year;O;P;S;V;frequency
1470;0;0;0;0;0
1480;0;0;0;0;0
1490;0;0;0;0;0
1500;0;0;0;0;0
1510;0;0;0;0;0
1520;0;0;0;0;0
1530;0;0;0;0;0
1540;0;0;0;0;0
1550;0;0;0;0;0
1560;0;0;0;0;0
1570;0;1;0;0;1
1580;0;0;0;0;0
1590;0;1;1;3;5
1600;0;6;2;4;12
1610;0;2;0;2;4
1620;0;1;1;0;2
1630;8;28;13;3;52
1640;5;19;8;11;43
1650;3;64;33;47;147
1660;10;56;5;45;116
1670;0;84;6;50;140
1680;7;67;18;82;174
1690;6;31;15;49;101
