year;you;ye;thee;other;frequency
1550;0;0;0;0;0
1560;0;0;0;0;0
1570;0;0;0;0;0
1580;0;0;0;1;1
1590;1;3;0;5;9
1600;9;1;1;2;13
1610;0;0;0;1;1
1620;2;0;0;0;2
1630;5;1;1;3;10
1640;4;0;0;5;9
1650;44;11;6;16;77
1660;71;21;2;7;101
1670;74;42;4;18;138
1680;71;37;6;12;126
1690;95;84;7;10;196
