year;O;P;S;V;frequency
1470;0;0;0;0;0
1480;0;0;0;0;0
1490;1;0;1;0;2
1500;0;0;0;0;0
1510;0;0;0;0;0
1520;5;0;1;6;12
1530;9;5;6;4;24
1540;9;8;14;10;41
1550;6;2;5;1;14
1560;10;18;21;6;55
1570;12;23;13;9;57
1580;9;22;9;13;53
1590;24;29;37;76;166
1600;45;142;42;104;333
1610;11;76;29;94;210
1620;17;106;16;38;177
1630;29;110;31;77;247
1640;16;48;22;36;122
1650;6;42;7;15;70
1660;5;15;5;18;43
1670;0;0;0;3;3
1680;0;0;1;1;2
1690;1;1;2;2;6
